audit_id,child_id,agent,timestamp,confidence_score,status,execution_time_ms,escalated
AUD-CH-004-Dat-3369,CH-004,Data Quality Agent,2026-03-02T21:50:47,0.96,passed,849,False
AUD-CH-004-Con-2908,CH-004,Confidence and Abstention Agent,2026-03-02T21:50:57,0.96,passed,1054,False
AUD-CH-005-Inp-2232,CH-005,Input Aggregation Agent,2026-03-02T13:45:00,0.92,completed,2954,False
AUD-CH-005-Pro-4133,CH-005,Profile Synthesis Agent,2026-03-02T13:45:13,0.8,completed,4358,False
AUD-CH-005-Pre-1629,CH-005,Prediction Agent,2026-03-02T13:45:58,0.83,completed,4053,False
AUD-CH-005-Dom-8494,CH-005,Domain Analysis Agent,2026-03-02T13:46:14,0.81,completed,1289,False
AUD-CH-005-Gui-6053,CH-005,Guideline Generation Agent,2026-03-02T13:46:34,0.91,completed,3679,False
AUD-CH-005-Goa-9014,CH-005,Goal Generation Agent,2026-03-02T13:47:01,0.74,escalated_to_human,1235,True
AUD-CH-005-Mil-8590,CH-005,Milestone Planning Agent,2026-03-02T13:47:42,0.82,completed,2982,False
AUD-CH-005-Car-9373,CH-005,Caregiver Guidance Agent,2026-03-02T13:48:23,0.85,completed,2751,False
AUD-CH-005-Eth-3236,CH-005,Ethics and Consent Agent,2026-03-02T13:48:39,0.97,passed,492,False
AUD-CH-005-Bia-1450,CH-005,Bias Monitoring Agent,2026-03-02T13:48:43,0.91,passed,1865,False
AUD-CH-005-Dat-2400,CH-005,Data Quality Agent,2026-03-02T13:48:57,0.92,passed,302,False
AUD-CH-005-Con-8774,CH-005,Confidence and Abstention Agent,2026-03-02T13:49:04,0.95,passed,2451,False
AUD-CH-006-Inp-5937,CH-006,Input Aggregation Agent,2026-03-03T01:51:00,0.78,completed,5994,False
AUD-CH-006-Pro-1987,CH-006,Profile Synthesis Agent,2026-03-03T01:51:39,0.94,completed,2255,False
AUD-CH-006-Pre-3682,CH-006,Prediction Agent,2026-03-03T01:51:46,0.71,escalated_to_human,4369,True
AUD-CH-006-Dom-9923,CH-006,Domain Analysis Agent,2026-03-03T01:52:23,0.97,completed,238,False
AUD-CH-006-Gui-1011,CH-006,Guideline Generation Agent,2026-03-03T01:52:33,0.86,completed,1017,False
AUD-CH-006-Goa-5502,CH-006,Goal Generation Agent,2026-03-03T01:53:12,0.83,completed,1354,False
AUD-CH-006-Mil-9920,CH-006,Milestone Planning Agent,2026-03-03T01:53:48,0.73,escalated_to_human,3804,True
AUD-CH-006-Car-1192,CH-006,Caregiver Guidance Agent,2026-03-03T01:53:58,0.95,completed,2106,False
AUD-CH-006-Eth-3881,CH-006,Ethics and Consent Agent,2026-03-03T01:54:04,0.92,passed,1418,False
AUD-CH-006-Bia-7815,CH-006,Bias Monitoring Agent,2026-03-03T01:54:10,0.98,passed,2262,False
AUD-CH-006-Dat-7573,CH-006,Data Quality Agent,2026-03-03T01:54:21,0.96,passed,1722,False
AUD-CH-006-Con-6380,CH-006,Confidence and Abstention Agent,2026-03-03T01:54:31,0.96,passed,1823,False
AUD-CH-007-Inp-2235,CH-007,Input Aggregation Agent,2026-03-02T01:34:00,0.83,completed,456,False
AUD-CH-007-Pro-7477,CH-007,Profile Synthesis Agent,2026-03-02T01:34:34,0.76,completed,2082,False
AUD-CH-007-Pre-4777,CH-007,Prediction Agent,2026-03-02T01:34:52,0.79,completed,1520,False
AUD-CH-007-Dom-5926,CH-007,Domain Analysis Agent,2026-03-02T01:35:15,0.68,escalated_to_human,1380,True
AUD-CH-007-Gui-2769,CH-007,Guideline Generation Agent,2026-03-02T01:35:46,0.85,completed,3660,False
AUD-CH-007-Goa-2608,CH-007,Goal Generation Agent,2026-03-02T01:35:59,0.68,escalated_to_human,2385,True
AUD-CH-007-Mil-8147,CH-007,Milestone Planning Agent,2026-03-02T01:36:05,0.93,completed,5674,False
AUD-CH-007-Car-6277,CH-007,Caregiver Guidance Agent,2026-03-02T01:36:37,0.84,completed,1045,False
AUD-CH-007-Eth-7935,CH-007,Ethics and Consent Agent,2026-03-02T01:36:53,0.96,passed,521,False
AUD-CH-007-Bia-8964,CH-007,Bias Monitoring Agent,2026-03-02T01:36:58,0.77,flagged_for_review,1725,True
AUD-CH-007-Dat-6912,CH-007,Data Quality Agent,2026-03-02T01:37:01,0.97,passed,695,False
AUD-CH-007-Con-2117,CH-007,Confidence and Abstention Agent,2026-03-02T01:37:10,0.92,passed,2408,False
AUD-CH-008-Inp-1924,CH-008,Input Aggregation Agent,2026-03-01T17:54:00,0.75,completed,2609,False
AUD-CH-008-Pro-4385,CH-008,Profile Synthesis Agent,2026-03-01T17:54:07,0.78,completed,581,False
AUD-CH-008-Pre-2816,CH-008,Prediction Agent,2026-03-01T17:54:41,0.81,completed,1862,False
AUD-CH-008-Dom-4444,CH-008,Domain Analysis Agent,2026-03-01T17:55:16,0.81,completed,1064,False
AUD-CH-008-Gui-4635,CH-008,Guideline Generation Agent,2026-03-01T17:55:51,0.92,completed,3054,False
AUD-CH-008-Goa-7762,CH-008,Goal Generation Agent,2026-03-01T17:56:07,0.81,completed,178,False
AUD-CH-008-Mil-6561,CH-008,Milestone Planning Agent,2026-03-01T17:56:18,0.73,escalated_to_human,5639,True
AUD-CH-008-Car-2014,CH-008,Caregiver Guidance Agent,2026-03-01T17:56:44,0.75,completed,3438,False
AUD-CH-008-Eth-4854,CH-008,Ethics and Consent Agent,2026-03-01T17:57:27,0.93,passed,1836,False
AUD-CH-008-Bia-1351,CH-008,Bias Monitoring Agent,2026-03-01T17:57:32,0.98,passed,1128,False
AUD-CH-008-Dat-7075,CH-008,Data Quality Agent,2026-03-01T17:57:42,0.99,passed,160,False
AUD-CH-008-Con-6976,CH-008,Confidence and Abstention Agent,2026-03-01T17:57:53,0.92,passed,1532,False
AUD-CH-009-Inp-9101,CH-009,Input Aggregation Agent,2026-03-01T19:37:00,0.93,completed,5393,False
AUD-CH-009-Pro-6774,CH-009,Profile Synthesis Agent,2026-03-01T19:37:15,0.93,completed,2724,False
AUD-CH-009-Pre-8321,CH-009,Prediction Agent,2026-03-01T19:37:25,0.92,completed,2164,False
AUD-CH-009-Dom-5819,CH-009,Domain Analysis Agent,2026-03-01T19:37:34,0.98,completed,5080,False
AUD-CH-009-Gui-8489,CH-009,Guideline Generation Agent,2026-03-01T19:38:19,0.72,escalated_to_human,832,True
AUD-CH-009-Goa-6116,CH-009,Goal Generation Agent,2026-03-01T19:38:52,0.71,escalated_to_human,3005,True
AUD-CH-009-Mil-6006,CH-009,Milestone Planning Agent,2026-03-01T19:39:03,0.9,completed,4403,False
AUD-CH-009-Car-5764,CH-009,Caregiver Guidance Agent,2026-03-01T19:39:06,0.93,completed,5616,False
AUD-CH-009-Eth-6363,CH-009,Ethics and Consent Agent,2026-03-01T19:39:12,0.95,passed,1121,False
AUD-CH-009-Bia-6815,CH-009,Bias Monitoring Agent,2026-03-01T19:39:24,0.92,passed,623,False
AUD-CH-009-Dat-2611,CH-009,Data Quality Agent,2026-03-01T19:39:33,0.94,passed,2406,False
AUD-CH-009-Con-8519,CH-009,Confidence and Abstention Agent,2026-03-01T19:39:45,0.93,passed,659,False
AUD-CH-010-Inp-4597,CH-010,Input Aggregation Agent,2026-03-01T09:18:00,0.72,escalated_to_human,2812,True
AUD-CH-010-Pro-4267,CH-010,Profile Synthesis Agent,2026-03-01T09:18:36,0.74,escalated_to_human,2688,True
AUD-CH-010-Pre-8813,CH-010,Prediction Agent,2026-03-01T09:18:56,0.84,completed,4508,False
AUD-CH-010-Dom-2708,CH-010,Domain Analysis Agent,2026-03-01T09:19:13,0.82,completed,2478,False
AUD-CH-010-Gui-4974,CH-010,Guideline Generation Agent,2026-03-01T09:19:33,0.75,completed,2118,False
AUD-CH-010-Goa-8884,CH-010,Goal Generation Agent,2026-03-01T09:20:02,0.9,completed,1968,False
AUD-CH-010-Mil-9936,CH-010,Milestone Planning Agent,2026-03-01T09:20:13,0.9,completed,3485,False
AUD-CH-010-Car-2864,CH-010,Caregiver Guidance Agent,2026-03-01T09:20:39,0.8,completed,4939,False
AUD-CH-010-Eth-7989,CH-010,Ethics and Consent Agent,2026-03-01T09:21:05,0.93,passed,550,False
AUD-CH-010-Bia-5405,CH-010,Bias Monitoring Agent,2026-03-01T09:21:20,0.91,passed,957,False
AUD-CH-010-Dat-3390,CH-010,Data Quality Agent,2026-03-01T09:21:34,0.97,passed,1709,False
AUD-CH-010-Con-7625,CH-010,Confidence and Abstention Agent,2026-03-01T09:21:38,0.99,passed,1620,False
AUD-CH-011-Inp-3009,CH-011,Input Aggregation Agent,2026-03-03T04:27:00,0.9,completed,4295,False
AUD-CH-011-Pro-5844,CH-011,Profile Synthesis Agent,2026-03-03T04:27:05,0.7,escalated_to_human,5813,True
AUD-CH-011-Pre-7234,CH-011,Prediction Agent,2026-03-03T04:27:29,0.86,completed,1188,False
AUD-CH-011-Dom-4849,CH-011,Domain Analysis Agent,2026-03-03T04:27:37,0.88,completed,2100,False
AUD-CH-011-Gui-8551,CH-011,Guideline Generation Agent,2026-03-03T04:27:55,0.86,completed,4746,False
AUD-CH-011-Goa-3961,CH-011,Goal Generation Agent,2026-03-03T04:28:08,0.73,escalated_to_human,1778,True
AUD-CH-011-Mil-7830,CH-011,Milestone Planning Agent,2026-03-03T04:28:35,0.84,completed,2441,False
AUD-CH-011-Car-3378,CH-011,Caregiver Guidance Agent,2026-03-03T04:28:39,0.96,completed,5222,False
AUD-CH-011-Eth-9365,CH-011,Ethics and Consent Agent,2026-03-03T04:29:15,0.92,passed,1747,False
AUD-CH-011-Bia-1071,CH-011,Bias Monitoring Agent,2026-03-03T04:29:26,0.87,flagged_for_review,249,True
AUD-CH-011-Dat-3058,CH-011,Data Quality Agent,2026-03-03T04:29:35,0.82,flagged_for_review,1158,True
AUD-CH-011-Con-4410,CH-011,Confidence and Abstention Agent,2026-03-03T04:29:46,0.93,passed,2439,False
AUD-CH-012-Inp-3090,CH-012,Input Aggregation Agent,2026-03-02T15:50:00,0.82,completed,3986,False
AUD-CH-012-Pro-9722,CH-012,Profile Synthesis Agent,2026-03-02T15:50:33,0.88,completed,3126,False
AUD-CH-012-Pre-7843,CH-012,Prediction Agent,2026-03-02T15:51:05,0.74,escalated_to_human,398,True
AUD-CH-012-Dom-5312,CH-012,Domain Analysis Agent,2026-03-02T15:51:17,0.87,completed,2206,False
AUD-CH-012-Gui-1130,CH-012,Guideline Generation Agent,2026-03-02T15:51:59,0.71,escalated_to_human,4761,True
AUD-CH-012-Goa-4322,CH-012,Goal Generation Agent,2026-03-02T15:52:02,0.72,escalated_to_human,1924,True
AUD-CH-012-Mil-3223,CH-012,Milestone Planning Agent,2026-03-02T15:52:11,0.91,completed,379,False
AUD-CH-012-Car-5214,CH-012,Caregiver Guidance Agent,2026-03-02T15:52:19,0.92,completed,1920,False
AUD-CH-012-Eth-4522,CH-012,Ethics and Consent Agent,2026-03-02T15:52:48,0.91,passed,1707,False
AUD-CH-012-Bia-2080,CH-012,Bias Monitoring Agent,2026-03-02T15:52:55,0.94,passed,510,False
AUD-CH-012-Dat-2439,CH-012,Data Quality Agent,2026-03-02T15:53:03,0.93,passed,2332,False
AUD-CH-012-Con-3532,CH-012,Confidence and Abstention Agent,2026-03-02T15:53:10,0.91,passed,1748,False
AUD-CH-013-Inp-7008,CH-013,Input Aggregation Agent,2026-03-02T06:28:00,0.7,escalated_to_human,3906,True
AUD-CH-013-Pro-2771,CH-013,Profile Synthesis Agent,2026-03-02T06:28:41,0.87,completed,318,False
AUD-CH-013-Pre-3075,CH-013,Prediction Agent,2026-03-02T06:29:09,0.76,completed,1187,False
AUD-CH-013-Dom-1615,CH-013,Domain Analysis Agent,2026-03-02T06:29:17,0.75,completed,777,False
AUD-CH-013-Gui-3287,CH-013,Guideline Generation Agent,2026-03-02T06:29:29,0.94,completed,4544,False
AUD-CH-013-Goa-8465,CH-013,Goal Generation Agent,2026-03-02T06:30:04,0.69,escalated_to_human,5107,True
AUD-CH-013-Mil-2163,CH-013,Milestone Planning Agent,2026-03-02T06:30:33,0.78,completed,2433,False
AUD-CH-013-Car-2327,CH-013,Caregiver Guidance Agent,2026-03-02T06:30:59,0.84,completed,435,False
AUD-CH-013-Eth-1546,CH-013,Ethics and Consent Agent,2026-03-02T06:31:19,0.8,flagged_for_review,256,True
AUD-CH-013-Bia-6048,CH-013,Bias Monitoring Agent,2026-03-02T06:31:27,0.93,passed,474,False
AUD-CH-013-Dat-1640,CH-013,Data Quality Agent,2026-03-02T06:31:37,0.96,passed,408,False
AUD-CH-013-Con-1988,CH-013,Confidence and Abstention Agent,2026-03-02T06:31:42,0.98,passed,527,False
AUD-CH-014-Inp-7090,CH-014,Input Aggregation Agent,2026-03-01T15:46:00,0.97,completed,3766,False
AUD-CH-014-Pro-1141,CH-014,Profile Synthesis Agent,2026-03-01T15:46:17,0.87,completed,492,False
AUD-CH-014-Pre-2468,CH-014,Prediction Agent,2026-03-01T15:46:35,0.71,escalated_to_human,1707,True
AUD-CH-014-Dom-7595,CH-014,Domain Analysis Agent,2026-03-01T15:47:11,0.95,completed,1055,False
AUD-CH-014-Gui-6831,CH-014,Guideline Generation Agent,2026-03-01T15:47:47,0.89,completed,1341,False
AUD-CH-014-Goa-5622,CH-014,Goal Generation Agent,2026-03-01T15:48:10,0.75,completed,3007,False
AUD-CH-014-Mil-7315,CH-014,Milestone Planning Agent,2026-03-01T15:48:25,0.93,completed,1035,False
AUD-CH-014-Car-6923,CH-014,Caregiver Guidance Agent,2026-03-01T15:48:51,0.82,completed,5620,False
AUD-CH-014-Eth-6380,CH-014,Ethics and Consent Agent,2026-03-01T15:49:09,0.97,passed,557,False
AUD-CH-014-Bia-3826,CH-014,Bias Monitoring Agent,2026-03-01T15:49:13,0.95,passed,1023,False
AUD-CH-014-Dat-8307,CH-014,Data Quality Agent,2026-03-01T15:49:19,0.99,passed,417,False
AUD-CH-014-Con-8911,CH-014,Confidence and Abstention Agent,2026-03-01T15:49:22,0.92,passed,1804,False
AUD-CH-015-Inp-8365,CH-015,Input Aggregation Agent,2026-03-03T05:46:00,0.72,escalated_to_human,608,True
AUD-CH-015-Pro-7787,CH-015,Profile Synthesis Agent,2026-03-03T05:46:33,0.72,escalated_to_human,1333,True
AUD-CH-015-Pre-1797,CH-015,Prediction Agent,2026-03-03T05:46:49,0.8,completed,970,False
AUD-CH-015-Dom-3309,CH-015,Domain Analysis Agent,2026-03-03T05:46:54,0.92,completed,3067,False
AUD-CH-015-Gui-9030,CH-015,Guideline Generation Agent,2026-03-03T05:47:34,0.91,completed,2570,False
AUD-CH-015-Goa-9971,CH-015,Goal Generation Agent,2026-03-03T05:48:15,0.8,completed,4782,False
AUD-CH-015-Mil-9605,CH-015,Milestone Planning Agent,2026-03-03T05:48:42,0.71,escalated_to_human,4558,True
AUD-CH-015-Car-8192,CH-015,Caregiver Guidance Agent,2026-03-03T05:49:23,0.98,completed,2194,False
AUD-CH-015-Eth-2949,CH-015,Ethics and Consent Agent,2026-03-03T05:49:50,0.95,passed,1301,False
AUD-CH-015-Bia-3190,CH-015,Bias Monitoring Agent,2026-03-03T05:49:52,0.99,passed,1788,False
AUD-CH-015-Dat-7584,CH-015,Data Quality Agent,2026-03-03T05:49:54,0.97,passed,883,False
AUD-CH-015-Con-4022,CH-015,Confidence and Abstention Agent,2026-03-03T05:49:58,0.94,passed,631,False
AUD-CH-016-Inp-8519,CH-016,Input Aggregation Agent,2026-03-01T13:47:00,0.92,completed,5754,False
AUD-CH-016-Pro-9595,CH-016,Profile Synthesis Agent,2026-03-01T13:47:23,0.77,completed,3077,False
AUD-CH-016-Pre-9720,CH-016,Prediction Agent,2026-03-01T13:47:35,0.7,escalated_to_human,634,True
AUD-CH-016-Dom-8444,CH-016,Domain Analysis Agent,2026-03-01T13:48:17,0.97,completed,3379,False
AUD-CH-016-Gui-8535,CH-016,Guideline Generation Agent,2026-03-01T13:48:27,0.94,completed,2639,False
AUD-CH-016-Goa-5883,CH-016,Goal Generation Agent,2026-03-01T13:48:39,0.95,completed,4573,False
AUD-CH-016-Mil-2479,CH-016,Milestone Planning Agent,2026-03-01T13:49:13,0.75,completed,1926,False
AUD-CH-016-Car-2905,CH-016,Caregiver Guidance Agent,2026-03-01T13:49:27,0.9,completed,4166,False
AUD-CH-016-Eth-8159,CH-016,Ethics and Consent Agent,2026-03-01T13:49:58,0.93,passed,957,False
AUD-CH-016-Bia-3973,CH-016,Bias Monitoring Agent,2026-03-01T13:50:12,0.92,passed,1356,False
AUD-CH-016-Dat-8748,CH-016,Data Quality Agent,2026-03-01T13:50:24,0.97,passed,2253,False
AUD-CH-016-Con-5108,CH-016,Confidence and Abstention Agent,2026-03-01T13:50:33,0.96,passed,1498,False
AUD-CH-017-Inp-1357,CH-017,Input Aggregation Agent,2026-03-02T03:54:00,0.96,completed,4284,False
AUD-CH-017-Pro-7052,CH-017,Profile Synthesis Agent,2026-03-02T03:54:18,0.89,completed,1459,False
AUD-CH-017-Pre-2415,CH-017,Prediction Agent,2026-03-02T03:54:27,0.9,completed,2358,False
AUD-CH-017-Dom-5582,CH-017,Domain Analysis Agent,2026-03-02T03:54:34,0.91,completed,2077,False
AUD-CH-017-Gui-2573,CH-017,Guideline Generation Agent,2026-03-02T03:55:19,0.74,escalated_to_human,4167,True
AUD-CH-017-Goa-4403,CH-017,Goal Generation Agent,2026-03-02T03:55:34,0.7,escalated_to_human,4576,True
AUD-CH-017-Mil-4062,CH-017,Milestone Planning Agent,2026-03-02T03:55:37,0.88,completed,2451,False
AUD-CH-017-Car-7500,CH-017,Caregiver Guidance Agent,2026-03-02T03:55:59,0.9,completed,4484,False
AUD-CH-017-Eth-9308,CH-017,Ethics and Consent Agent,2026-03-02T03:56:38,0.93,passed,269,False
AUD-CH-017-Bia-9802,CH-017,Bias Monitoring Agent,2026-03-02T03:56:43,0.98,passed,978,False
AUD-CH-017-Dat-6765,CH-017,Data Quality Agent,2026-03-02T03:56:52,0.98,passed,1484,False
AUD-CH-017-Con-5554,CH-017,Confidence and Abstention Agent,2026-03-02T03:57:07,0.97,passed,2390,False
AUD-CH-018-Inp-8672,CH-018,Input Aggregation Agent,2026-03-02T20:05:00,0.88,completed,2581,False
AUD-CH-018-Pro-7293,CH-018,Profile Synthesis Agent,2026-03-02T20:05:16,0.78,completed,540,False
AUD-CH-018-Pre-1724,CH-018,Prediction Agent,2026-03-02T20:05:32,0.91,completed,3132,False
AUD-CH-018-Dom-4287,CH-018,Domain Analysis Agent,2026-03-02T20:06:07,0.9,completed,1420,False
AUD-CH-018-Gui-9383,CH-018,Guideline Generation Agent,2026-03-02T20:06:41,0.77,completed,2376,False
AUD-CH-018-Goa-6480,CH-018,Goal Generation Agent,2026-03-02T20:06:53,0.92,completed,5315,False
AUD-CH-018-Mil-5450,CH-018,Milestone Planning Agent,2026-03-02T20:07:37,0.75,completed,998,False
AUD-CH-018-Car-7018,CH-018,Caregiver Guidance Agent,2026-03-02T20:07:40,0.77,completed,4105,False
AUD-CH-018-Eth-8127,CH-018,Ethics and Consent Agent,2026-03-02T20:08:22,0.99,passed,859,False
AUD-CH-018-Bia-1302,CH-018,Bias Monitoring Agent,2026-03-02T20:08:34,0.97,passed,934,False
AUD-CH-018-Dat-7438,CH-018,Data Quality Agent,2026-03-02T20:08:44,0.93,passed,544,False
AUD-CH-018-Con-7225,CH-018,Confidence and Abstention Agent,2026-03-02T20:08:50,0.94,passed,2131,False
AUD-CH-019-Inp-4048,CH-019,Input Aggregation Agent,2026-03-02T13:18:00,0.76,completed,331,False
AUD-CH-019-Pro-4489,CH-019,Profile Synthesis Agent,2026-03-02T13:18:04,0.76,completed,4442,False
AUD-CH-019-Pre-5771,CH-019,Prediction Agent,2026-03-02T13:18:45,0.82,completed,5653,False
AUD-CH-019-Dom-1133,CH-019,Domain Analysis Agent,2026-03-02T13:19:12,0.85,completed,4573,False
AUD-CH-019-Gui-8152,CH-019,Guideline Generation Agent,2026-03-02T13:19:38,0.78,completed,5359,False
AUD-CH-019-Goa-7223,CH-019,Goal Generation Agent,2026-03-02T13:19:52,0.81,completed,2726,False
AUD-CH-019-Mil-4494,CH-019,Milestone Planning Agent,2026-03-02T13:20:03,0.79,completed,463,False
AUD-CH-019-Car-8568,CH-019,Caregiver Guidance Agent,2026-03-02T13:20:46,0.75,completed,5023,False
AUD-CH-019-Eth-7306,CH-019,Ethics and Consent Agent,2026-03-02T13:21:28,0.95,passed,1194,False
AUD-CH-019-Bia-6861,CH-019,Bias Monitoring Agent,2026-03-02T13:21:32,0.99,passed,304,False
AUD-CH-019-Dat-7541,CH-019,Data Quality Agent,2026-03-02T13:21:35,0.96,passed,484,False
AUD-CH-019-Con-9459,CH-019,Confidence and Abstention Agent,2026-03-02T13:21:46,0.96,passed,2261,False
AUD-CH-020-Inp-2886,CH-020,Input Aggregation Agent,2026-03-01T19:17:00,0.99,completed,4361,False
AUD-CH-020-Pro-3637,CH-020,Profile Synthesis Agent,2026-03-01T19:17:19,0.81,completed,2489,False
AUD-CH-020-Pre-3592,CH-020,Prediction Agent,2026-03-01T19:17:45,0.95,completed,2996,False
AUD-CH-020-Dom-2803,CH-020,Domain Analysis Agent,2026-03-01T19:18:30,0.7,escalated_to_human,5266,True
AUD-CH-020-Gui-4070,CH-020,Guideline Generation Agent,2026-03-01T19:18:56,0.82,completed,1570,False
AUD-CH-020-Goa-7665,CH-020,Goal Generation Agent,2026-03-01T19:19:35,0.76,completed,159,False
AUD-CH-020-Mil-6766,CH-020,Milestone Planning Agent,2026-03-01T19:20:14,0.73,escalated_to_human,5325,True
AUD-CH-020-Car-2094,CH-020,Caregiver Guidance Agent,2026-03-01T19:20:40,0.83,completed,4180,False
AUD-CH-020-Eth-7303,CH-020,Ethics and Consent Agent,2026-03-01T19:20:46,0.94,passed,1606,False
AUD-CH-020-Bia-1817,CH-020,Bias Monitoring Agent,2026-03-01T19:20:56,0.86,flagged_for_review,1116,True
AUD-CH-020-Dat-1457,CH-020,Data Quality Agent,2026-03-01T19:21:01,0.93,passed,1839,False
AUD-CH-020-Con-1622,CH-020,Confidence and Abstention Agent,2026-03-01T19:21:07,0.93,passed,2455,False
AUD-CH-021-Inp-7779,CH-021,Input Aggregation Agent,2026-03-02T07:27:00,0.93,completed,4647,False
AUD-CH-021-Pro-9157,CH-021,Profile Synthesis Agent,2026-03-02T07:27:21,0.73,escalated_to_human,563,True
